"tollgate_id","time_window","direction","vehicle_type0","start_month","start_day","start_hour","start_minute"
"3","[2016-09-19 00:00:00,2016-09-19 00:20:00)","1","160","9","19","0","0"
"1","[2016-09-19 00:00:00,2016-09-19 00:20:00)","1","109","9","19","0","0"
"1","[2016-09-19 00:20:00,2016-09-19 00:40:00)","1","40","9","19","0","20"
"3","[2016-09-19 00:20:00,2016-09-19 00:40:00)","1","96","9","19","0","20"
"1","[2016-09-19 00:40:00,2016-09-19 01:00:00)","1","20","9","19","0","40"
"3","[2016-09-19 00:40:00,2016-09-19 01:00:00)","1","77","9","19","0","40"
"3","[2016-09-19 01:00:00,2016-09-19 01:20:00)","1","4","9","19","1","0"
"1","[2016-09-19 01:00:00,2016-09-19 01:20:00)","1","2","9","19","1","0"
"1","[2016-09-19 01:20:00,2016-09-19 01:40:00)","1","8","9","19","1","20"
"3","[2016-09-19 01:20:00,2016-09-19 01:40:00)","1","2","9","19","1","20"
"3","[2016-09-19 01:40:00,2016-09-19 02:00:00)","1","3","9","19","1","40"
"1","[2016-09-19 01:40:00,2016-09-19 02:00:00)","1","4","9","19","1","40"
"3","[2016-09-19 02:00:00,2016-09-19 02:20:00)","1","3","9","19","2","0"
"1","[2016-09-19 02:00:00,2016-09-19 02:20:00)","1","2","9","19","2","0"
"1","[2016-09-19 02:20:00,2016-09-19 02:40:00)","1","2","9","19","2","20"
"3","[2016-09-19 02:20:00,2016-09-19 02:40:00)","1","3","9","19","2","20"
"1","[2016-09-19 02:40:00,2016-09-19 03:00:00)","1","6","9","19","2","40"
"3","[2016-09-19 03:00:00,2016-09-19 03:20:00)","1","3","9","19","3","0"
"1","[2016-09-19 03:00:00,2016-09-19 03:20:00)","1","4","9","19","3","0"
"3","[2016-09-19 03:20:00,2016-09-19 03:40:00)","1","2","9","19","3","20"
"1","[2016-09-19 03:20:00,2016-09-19 03:40:00)","1","1","9","19","3","20"
"1","[2016-09-19 03:40:00,2016-09-19 04:00:00)","1","7","9","19","3","40"
"3","[2016-09-19 03:40:00,2016-09-19 04:00:00)","1","4","9","19","3","40"
"1","[2016-09-19 04:00:00,2016-09-19 04:20:00)","1","8","9","19","4","0"
"3","[2016-09-19 04:00:00,2016-09-19 04:20:00)","1","2","9","19","4","0"
"1","[2016-09-19 04:20:00,2016-09-19 04:40:00)","1","7","9","19","4","20"
"3","[2016-09-19 04:20:00,2016-09-19 04:40:00)","1","4","9","19","4","20"
"1","[2016-09-19 04:40:00,2016-09-19 05:00:00)","1","8","9","19","4","40"
"1","[2016-09-19 05:00:00,2016-09-19 05:20:00)","1","16","9","19","5","0"
"3","[2016-09-19 05:00:00,2016-09-19 05:20:00)","1","4","9","19","5","0"
"1","[2016-09-19 05:20:00,2016-09-19 05:40:00)","1","7","9","19","5","20"
"3","[2016-09-19 05:20:00,2016-09-19 05:40:00)","1","5","9","19","5","20"
"3","[2016-09-19 05:40:00,2016-09-19 06:00:00)","1","8","9","19","5","40"
"1","[2016-09-19 05:40:00,2016-09-19 06:00:00)","1","16","9","19","5","40"
"1","[2016-09-19 06:00:00,2016-09-19 06:20:00)","1","18","9","19","6","0"
"3","[2016-09-19 06:00:00,2016-09-19 06:20:00)","1","14","9","19","6","0"
"3","[2016-09-19 06:20:00,2016-09-19 06:40:00)","1","19","9","19","6","20"
"1","[2016-09-19 06:20:00,2016-09-19 06:40:00)","1","35","9","19","6","20"
"1","[2016-09-19 06:40:00,2016-09-19 07:00:00)","1","39","9","19","6","40"
"3","[2016-09-19 06:40:00,2016-09-19 07:00:00)","1","51","9","19","6","40"
"1","[2016-09-19 07:00:00,2016-09-19 07:20:00)","1","51","9","19","7","0"
"3","[2016-09-19 07:00:00,2016-09-19 07:20:00)","1","54","9","19","7","0"
"1","[2016-09-19 07:20:00,2016-09-19 07:40:00)","1","62","9","19","7","20"
"3","[2016-09-19 07:20:00,2016-09-19 07:40:00)","1","57","9","19","7","20"
"1","[2016-09-19 07:40:00,2016-09-19 08:00:00)","1","99","9","19","7","40"
"3","[2016-09-19 07:40:00,2016-09-19 08:00:00)","1","92","9","19","7","40"
"3","[2016-09-19 08:00:00,2016-09-19 08:20:00)","1","111","9","19","8","0"
"1","[2016-09-19 08:00:00,2016-09-19 08:20:00)","1","106","9","19","8","0"
"3","[2016-09-19 08:20:00,2016-09-19 08:40:00)","1","147","9","19","8","20"
"1","[2016-09-19 08:20:00,2016-09-19 08:40:00)","1","105","9","19","8","20"
"1","[2016-09-19 08:40:00,2016-09-19 09:00:00)","1","96","9","19","8","40"
"3","[2016-09-19 08:40:00,2016-09-19 09:00:00)","1","137","9","19","8","40"
"3","[2016-09-19 09:00:00,2016-09-19 09:20:00)","1","126","9","19","9","0"
"1","[2016-09-19 09:00:00,2016-09-19 09:20:00)","1","99","9","19","9","0"
"3","[2016-09-19 09:20:00,2016-09-19 09:40:00)","1","113","9","19","9","20"
"1","[2016-09-19 09:20:00,2016-09-19 09:40:00)","1","119","9","19","9","20"
"1","[2016-09-19 09:40:00,2016-09-19 10:00:00)","1","94","9","19","9","40"
"3","[2016-09-19 09:40:00,2016-09-19 10:00:00)","1","99","9","19","9","40"
"3","[2016-09-19 10:00:00,2016-09-19 10:20:00)","1","94","9","19","10","0"
"1","[2016-09-19 10:00:00,2016-09-19 10:20:00)","1","67","9","19","10","0"
"1","[2016-09-19 10:20:00,2016-09-19 10:40:00)","1","74","9","19","10","20"
"3","[2016-09-19 10:20:00,2016-09-19 10:40:00)","1","69","9","19","10","20"
"1","[2016-09-19 10:40:00,2016-09-19 11:00:00)","1","72","9","19","10","40"
"3","[2016-09-19 10:40:00,2016-09-19 11:00:00)","1","71","9","19","10","40"
"3","[2016-09-19 11:00:00,2016-09-19 11:20:00)","1","59","9","19","11","0"
"1","[2016-09-19 11:00:00,2016-09-19 11:20:00)","1","62","9","19","11","0"
"3","[2016-09-19 11:20:00,2016-09-19 11:40:00)","1","58","9","19","11","20"
"1","[2016-09-19 11:20:00,2016-09-19 11:40:00)","1","57","9","19","11","20"
"3","[2016-09-19 11:40:00,2016-09-19 12:00:00)","1","58","9","19","11","40"
"1","[2016-09-19 11:40:00,2016-09-19 12:00:00)","1","70","9","19","11","40"
"3","[2016-09-19 12:00:00,2016-09-19 12:20:00)","1","80","9","19","12","0"
"1","[2016-09-19 12:00:00,2016-09-19 12:20:00)","1","67","9","19","12","0"
"1","[2016-09-19 12:20:00,2016-09-19 12:40:00)","1","45","9","19","12","20"
"3","[2016-09-19 12:20:00,2016-09-19 12:40:00)","1","66","9","19","12","20"
"1","[2016-09-19 12:40:00,2016-09-19 13:00:00)","1","53","9","19","12","40"
"3","[2016-09-19 12:40:00,2016-09-19 13:00:00)","1","77","9","19","12","40"
"1","[2016-09-19 13:00:00,2016-09-19 13:20:00)","1","68","9","19","13","0"
"3","[2016-09-19 13:00:00,2016-09-19 13:20:00)","1","77","9","19","13","0"
"1","[2016-09-19 13:20:00,2016-09-19 13:40:00)","1","77","9","19","13","20"
"3","[2016-09-19 13:20:00,2016-09-19 13:40:00)","1","89","9","19","13","20"
"1","[2016-09-19 13:40:00,2016-09-19 14:00:00)","1","79","9","19","13","40"
"3","[2016-09-19 13:40:00,2016-09-19 14:00:00)","1","81","9","19","13","40"
"1","[2016-09-19 14:00:00,2016-09-19 14:20:00)","1","83","9","19","14","0"
"3","[2016-09-19 14:00:00,2016-09-19 14:20:00)","1","79","9","19","14","0"
"3","[2016-09-19 14:20:00,2016-09-19 14:40:00)","1","89","9","19","14","20"
"1","[2016-09-19 14:20:00,2016-09-19 14:40:00)","1","72","9","19","14","20"
"3","[2016-09-19 14:40:00,2016-09-19 15:00:00)","1","80","9","19","14","40"
"1","[2016-09-19 14:40:00,2016-09-19 15:00:00)","1","78","9","19","14","40"
"1","[2016-09-19 15:00:00,2016-09-19 15:20:00)","1","63","9","19","15","0"
"3","[2016-09-19 15:00:00,2016-09-19 15:20:00)","1","66","9","19","15","0"
"3","[2016-09-19 15:20:00,2016-09-19 15:40:00)","1","82","9","19","15","20"
"1","[2016-09-19 15:20:00,2016-09-19 15:40:00)","1","74","9","19","15","20"
"1","[2016-09-19 15:40:00,2016-09-19 16:00:00)","1","74","9","19","15","40"
"3","[2016-09-19 15:40:00,2016-09-19 16:00:00)","1","75","9","19","15","40"
"1","[2016-09-19 16:00:00,2016-09-19 16:20:00)","1","90","9","19","16","0"
"3","[2016-09-19 16:00:00,2016-09-19 16:20:00)","1","94","9","19","16","0"
"1","[2016-09-19 16:20:00,2016-09-19 16:40:00)","1","104","9","19","16","20"
"3","[2016-09-19 16:20:00,2016-09-19 16:40:00)","1","78","9","19","16","20"
"3","[2016-09-19 16:40:00,2016-09-19 17:00:00)","1","106","9","19","16","40"
"1","[2016-09-19 16:40:00,2016-09-19 17:00:00)","1","98","9","19","16","40"
"3","[2016-09-19 17:00:00,2016-09-19 17:20:00)","1","77","9","19","17","0"
"1","[2016-09-19 17:00:00,2016-09-19 17:20:00)","1","81","9","19","17","0"
"1","[2016-09-19 17:20:00,2016-09-19 17:40:00)","1","106","9","19","17","20"
"3","[2016-09-19 17:20:00,2016-09-19 17:40:00)","1","77","9","19","17","20"
"1","[2016-09-19 17:40:00,2016-09-19 18:00:00)","1","97","9","19","17","40"
